시점,월별,가해자음주정도별1,가해자음주정도별2,주야별,사고건수,사망자수,부상자수
2005,3월,음주운전,측정불응,주,5,0,8
2005,3월,음주운전,측정불응,야,30,1,46
2005,3월,음주운전,0.05%~0.09%,주,81,2,132
2005,3월,음주운전,0.05%~0.09%,야,242,6,419
2005,3월,음주운전,0.10%~0.14%,주,121,5,194
2005,3월,음주운전,0.10%~0.14%,야,607,9,1041
2005,3월,음주운전,0.15%~0.19%,주,128,2,240
2005,3월,음주운전,0.15%~0.19%,야,541,16,935
2005,3월,음주운전,0.20%~0.24%,주,51,1,81
2005,3월,음주운전,0.20%~0.24%,야,175,10,279
2005,3월,음주운전,0.25%~0.29%,주,23,1,40
2005,3월,음주운전,0.25%~0.29%,야,45,7,81
2005,3월,음주운전,0.30%~0.34%,주,6,0,11
2005,3월,음주운전,0.30%~0.34%,야,3,0,4
2005,3월,음주운전,0.35%이상,주,1,0,1
2005,3월,음주운전,0.35%이상,야,1,0,1
2005,3월,측정불능,측정불능,야,1,0,1
2005,3월,해당 없음,해당 없음,주,7943,189,12050
2005,3월,해당 없음,해당 없음,야,6286,213,9643
2005,3월,기타불명,기타불명,주,129,2,144
2005,3월,기타불명,기타불명,야,140,3,176
2005,4월,음주상태,0.05%미만,주,4,1,5
2005,4월,음주상태,0.05%미만,야,17,5,28
2005,4월,음주운전,측정불응,주,7,0,10
2005,4월,음주운전,측정불응,야,22,0,39
2005,4월,음주운전,0.05%~0.09%,주,96,6,182
2005,4월,음주운전,0.05%~0.09%,야,197,11,328
2005,4월,음주운전,0.10%~0.14%,주,129,2,241
2005,4월,음주운전,0.10%~0.14%,야,550,18,984
2005,4월,음주운전,0.15%~0.19%,주,110,2,179
2005,4월,음주운전,0.15%~0.19%,야,532,15,1060
2005,4월,음주운전,0.20%~0.24%,주,58,8,89
2005,4월,음주운전,0.20%~0.24%,야,220,10,384
2005,4월,음주운전,0.25%~0.29%,주,22,1,42
2005,4월,음주운전,0.25%~0.29%,야,54,4,85
2005,4월,음주운전,0.30%~0.34%,주,5,0,9
2005,4월,음주운전,0.30%~0.34%,야,6,2,24
2005,4월,음주운전,0.35%이상,주,1,0,1
2005,4월,음주운전,0.35%이상,야,3,0,7
2005,4월,측정불능,측정불능,야,1,0,1
2005,4월,해당 없음,해당 없음,주,8769,199,13596
2005,4월,해당 없음,해당 없음,야,6749,214,10545
2005,4월,기타불명,기타불명,주,121,5,126
2005,4월,기타불명,기타불명,야,144,4,166
2005,5월,음주상태,0.05%미만,주,6,4,21
2005,5월,음주상태,0.05%미만,야,14,4,30
2005,5월,음주운전,측정불응,주,7,0,20
2005,5월,음주운전,측정불응,야,25,0,41
2005,5월,음주운전,0.05%~0.09%,주,83,3,147
2005,5월,음주운전,0.05%~0.09%,야,251,4,452
2005,5월,음주운전,0.10%~0.14%,주,125,10,238
2005,5월,음주운전,0.10%~0.14%,야,505,20,928
2005,5월,음주운전,0.15%~0.19%,주,121,3,214
2005,5월,음주운전,0.15%~0.19%,야,630,23,1155
2005,5월,음주운전,0.20%~0.24%,주,78,2,136
2005,5월,음주운전,0.20%~0.24%,야,300,6,560
2005,5월,음주운전,0.25%~0.29%,주,39,0,70
2005,5월,음주운전,0.25%~0.29%,야,86,9,147
2005,5월,음주운전,0.30%~0.34%,주,11,0,17
2005,5월,음주운전,0.30%~0.34%,야,16,0,35
2005,5월,음주운전,0.35%이상,야,4,0,9
2005,5월,해당 없음,해당 없음,주,9394,231,14464
2005,5월,해당 없음,해당 없음,야,7138,244,10843
2005,5월,기타불명,기타불명,주,97,1,106
2005,5월,기타불명,기타불명,야,155,7,175
2005,6월,음주상태,0.05%미만,주,22,10,34
2005,6월,음주상태,0.05%미만,야,21,10,30
2005,6월,음주운전,측정불응,주,5,0,6
2005,6월,음주운전,측정불응,야,29,0,52
2005,6월,음주운전,0.05%~0.09%,주,90,5,175
2005,6월,음주운전,0.05%~0.09%,야,190,6,341
2005,6월,음주운전,0.10%~0.14%,주,112,7,221
2005,6월,음주운전,0.10%~0.14%,야,431,9,761
2005,6월,음주운전,0.15%~0.19%,주,124,8,219
2005,6월,음주운전,0.15%~0.19%,야,525,14,901
2005,6월,음주운전,0.20%~0.24%,주,81,1,147
2005,6월,음주운전,0.20%~0.24%,야,329,11,594
2005,6월,음주운전,0.25%~0.29%,주,50,1,82
2005,6월,음주운전,0.25%~0.29%,야,106,3,197
2005,6월,음주운전,0.30%~0.34%,주,10,0,20
2005,6월,음주운전,0.30%~0.34%,야,25,2,52
2005,6월,음주운전,0.35%이상,주,6,0,9
2005,6월,음주운전,0.35%이상,야,4,1,6
2005,6월,측정불능,측정불능,야,1,0,1
2005,6월,해당 없음,해당 없음,주,8891,202,13894
2005,6월,해당 없음,해당 없음,야,6787,182,10550
2005,6월,기타불명,기타불명,주,100,0,129
2005,6월,기타불명,기타불명,야,153,4,173
2005,7월,음주상태,0.05%미만,주,13,4,31
2005,7월,음주상태,0.05%미만,야,8,0,17
2005,7월,음주운전,측정불응,주,6,0,9
2005,7월,음주운전,측정불응,야,27,0,65
2005,7월,음주운전,0.05%~0.09%,주,97,1,178
2005,7월,음주운전,0.05%~0.09%,야,234,15,433
2005,7월,음주운전,0.10%~0.14%,주,127,2,226
2005,7월,음주운전,0.10%~0.14%,야,437,17,804
2005,7월,음주운전,0.15%~0.19%,주,179,5,314
2005,7월,음주운전,0.15%~0.19%,야,613,25,1118
2005,7월,음주운전,0.20%~0.24%,주,73,1,118
2005,7월,음주운전,0.20%~0.24%,야,336,13,606
2005,7월,음주운전,0.25%~0.29%,주,42,5,60
2005,7월,음주운전,0.25%~0.29%,야,98,2,193
2005,7월,음주운전,0.30%~0.34%,주,8,0,9
2005,7월,음주운전,0.30%~0.34%,야,18,1,31
2005,7월,음주운전,0.35%이상,주,1,0,1
2005,7월,음주운전,0.35%이상,야,7,1,18
2005,7월,측정불능,측정불능,주,1,0,1
2005,7월,해당 없음,해당 없음,주,8938,220,14358
2005,7월,해당 없음,해당 없음,야,7134,209,11064
2005,7월,기타불명,기타불명,주,120,1,141
2005,7월,기타불명,기타불명,야,158,6,189
2005,8월,음주상태,0.05%미만,주,11,8,16
2005,8월,음주상태,0.05%미만,야,17,3,32
2005,8월,음주운전,측정불응,주,6,1,11
2005,8월,음주운전,측정불응,야,28,0,41
2005,8월,음주운전,0.05%~0.09%,주,103,10,207
2005,8월,음주운전,0.05%~0.09%,야,240,10,412
2005,8월,음주운전,0.10%~0.14%,주,150,9,250
2005,8월,음주운전,0.10%~0.14%,야,493,14,919
2005,8월,음주운전,0.15%~0.19%,주,128,3,227
2005,8월,음주운전,0.15%~0.19%,야,608,14,1143
2005,8월,음주운전,0.20%~0.24%,주,105,7,177
2005,8월,음주운전,0.20%~0.24%,야,365,14,694
2005,8월,음주운전,0.25%~0.29%,주,38,3,63
2005,8월,음주운전,0.25%~0.29%,야,101,2,165
2005,8월,음주운전,0.30%~0.34%,주,11,0,20
2005,8월,음주운전,0.30%~0.34%,야,17,2,38
2005,8월,음주운전,0.35%이상,주,3,0,4
2005,8월,음주운전,0.35%이상,야,9,1,15
2005,8월,측정불능,측정불능,야,1,0,2
2005,8월,해당 없음,해당 없음,주,9015,215,15191
2005,8월,해당 없음,해당 없음,야,7301,236,11639
2005,8월,기타불명,기타불명,주,103,1,114
2005,8월,기타불명,기타불명,야,182,9,223
2005,9월,음주상태,0.05%미만,주,15,5,20
2005,9월,음주상태,0.05%미만,야,23,6,28
2005,9월,음주운전,측정불응,주,5,0,6
2005,9월,음주운전,측정불응,야,39,0,71
2005,9월,음주운전,0.05%~0.09%,주,86,8,175
2005,9월,음주운전,0.05%~0.09%,야,247,7,459
2005,9월,음주운전,0.10%~0.14%,주,121,5,211
2005,9월,음주운전,0.10%~0.14%,야,481,17,889
2005,9월,음주운전,0.15%~0.19%,주,155,9,299
2005,9월,음주운전,0.15%~0.19%,야,658,23,1207
2005,9월,음주운전,0.20%~0.24%,주,79,3,133
2005,9월,음주운전,0.20%~0.24%,야,340,15,649
2005,9월,음주운전,0.25%~0.29%,주,31,1,49
2005,9월,음주운전,0.25%~0.29%,야,100,6,182
2005,9월,음주운전,0.30%~0.34%,주,7,0,11
2005,9월,음주운전,0.30%~0.34%,야,11,1,19
2005,9월,음주운전,0.35%이상,주,3,0,6
2005,9월,음주운전,0.35%이상,야,2,0,6
2005,9월,측정불능,측정불능,주,1,0,1
2005,9월,해당 없음,해당 없음,주,8814,217,13791
2005,9월,해당 없음,해당 없음,야,7311,247,11351
2005,9월,기타불명,기타불명,주,97,1,112
2005,9월,기타불명,기타불명,야,133,6,156
2005,10월,음주상태,0.05%미만,주,13,9,33
2005,10월,음주상태,0.05%미만,야,26,13,35
2005,10월,음주운전,측정불응,주,9,0,18
2005,10월,음주운전,측정불응,야,41,0,87
2005,10월,음주운전,0.05%~0.09%,주,114,6,275
2005,10월,음주운전,0.05%~0.09%,야,235,7,405
2005,10월,음주운전,0.10%~0.14%,주,135,5,245
2005,10월,음주운전,0.10%~0.14%,야,581,21,1077
2005,10월,음주운전,0.15%~0.19%,주,157,11,277
2005,10월,음주운전,0.15%~0.19%,야,687,26,1303
2005,10월,음주운전,0.20%~0.24%,주,82,1,158
2005,10월,음주운전,0.20%~0.24%,야,327,10,599
2005,10월,음주운전,0.25%~0.29%,주,20,1,29
2005,10월,음주운전,0.25%~0.29%,야,65,2,104
2005,10월,음주운전,0.30%~0.34%,주,5,0,8
2005,10월,음주운전,0.30%~0.34%,야,9,0,12
2005,10월,음주운전,0.35%이상,주,4,0,4
2005,10월,음주운전,0.35%이상,야,5,1,5
2005,10월,측정불능,측정불능,주,1,0,1
2005,10월,해당 없음,해당 없음,주,9505,254,14961
2005,10월,해당 없음,해당 없음,야,7475,267,11658
2005,10월,기타불명,기타불명,주,114,1,123
2005,10월,기타불명,기타불명,야,147,4,180
2005,11월,음주상태,0.05%미만,주,17,3,43
2005,11월,음주상태,0.05%미만,야,26,10,31
2005,11월,음주운전,측정불응,주,5,0,12
2005,11월,음주운전,측정불응,야,31,0,60
2005,11월,음주운전,0.05%~0.09%,주,77,3,155
2005,11월,음주운전,0.05%~0.09%,야,265,6,494
2005,11월,음주운전,0.10%~0.14%,주,162,5,302
2005,11월,음주운전,0.10%~0.14%,야,614,16,1140
2005,11월,음주운전,0.15%~0.19%,주,142,2,254
2005,11월,음주운전,0.15%~0.19%,야,694,13,1290
2005,11월,음주운전,0.20%~0.24%,주,75,4,129
2005,11월,음주운전,0.20%~0.24%,야,279,15,549
2005,11월,음주운전,0.25%~0.29%,주,15,1,20
2005,11월,음주운전,0.25%~0.29%,야,51,1,92
2005,11월,음주운전,0.30%~0.34%,주,7,1,22
2005,11월,음주운전,0.30%~0.34%,야,11,2,23
2005,11월,음주운전,0.35%이상,주,1,0,1
2005,11월,음주운전,0.35%이상,야,2,0,2
2005,11월,해당 없음,해당 없음,주,9231,244,14400
2005,11월,해당 없음,해당 없음,야,7191,239,11045
2005,11월,기타불명,기타불명,주,110,2,133
2005,11월,기타불명,기타불명,야,123,7,140
2005,12월,음주상태,0.05%미만,주,5,2,7
2005,12월,음주상태,0.05%미만,야,17,6,28
2005,12월,음주운전,측정불응,주,7,0,11
2005,12월,음주운전,측정불응,야,28,0,47
2005,12월,음주운전,0.05%~0.09%,주,105,9,195
2005,12월,음주운전,0.05%~0.09%,야,271,8,498
2005,12월,음주운전,0.10%~0.14%,주,140,5,248
2005,12월,음주운전,0.10%~0.14%,야,716,9,1343
2005,12월,음주운전,0.15%~0.19%,주,148,6,262
2005,12월,음주운전,0.15%~0.19%,야,650,10,1154
2005,12월,음주운전,0.20%~0.24%,주,49,1,86
2005,12월,음주운전,0.20%~0.24%,야,209,6,408
2005,12월,음주운전,0.25%~0.29%,주,11,1,21
2005,12월,음주운전,0.25%~0.29%,야,39,0,82
2005,12월,음주운전,0.30%~0.34%,주,4,0,7
2005,12월,음주운전,0.30%~0.34%,야,11,0,14
2005,12월,음주운전,0.35%이상,야,2,0,4
2005,12월,측정불능,측정불능,주,1,0,2
2005,12월,측정불능,측정불능,야,2,0,2
2005,12월,해당 없음,해당 없음,주,8509,190,13482
2005,12월,해당 없음,해당 없음,야,7334,267,11581
2005,12월,기타불명,기타불명,주,101,2,107
2005,12월,기타불명,기타불명,야,145,8,161
2006,전체,음주상태,0.05%미만,주,143,62,231
2006,전체,음주상태,0.05%미만,야,324,102,518
2006,전체,음주운전,측정불응,주,116,2,204
2006,전체,음주운전,측정불응,야,489,4,891
2006,전체,음주운전,0.05%~0.09%,주,1229,57,2387
2006,전체,음주운전,0.05%~0.09%,야,3335,107,6084
2006,전체,음주운전,0.10%~0.14%,주,1729,58,3135
2006,전체,음주운전,0.10%~0.14%,야,7407,195,13270
2006,전체,음주운전,0.15%~0.19%,주,1683,46,2998
2006,전체,음주운전,0.15%~0.19%,야,7896,208,14419
2006,전체,음주운전,0.20%~0.24%,주,938,39,1683
2006,전체,음주운전,0.20%~0.24%,야,3586,129,6479
2006,전체,음주운전,0.25%~0.29%,주,354,16,599
2006,전체,음주운전,0.25%~0.29%,야,883,38,1529
2006,전체,음주운전,0.30%~0.34%,주,106,6,175
2006,전체,음주운전,0.30%~0.34%,야,161,10,283
2006,전체,음주운전,0.35%이상,주,26,3,34
2006,전체,음주운전,0.35%이상,야,52,2,85
2006,전체,측정불능,측정불능,주,55,1,77
2006,전체,측정불능,측정불능,야,140,17,209
2006,전체,해당 없음,해당 없음,주,98832,2501,155274
2006,전체,해당 없음,해당 없음,야,81775,2653,126733
2006,전체,기타불명,기타불명,주,1004,13,1199
2006,전체,기타불명,기타불명,야,1482,58,1733
2006,1월,음주상태,0.05%미만,주,12,6,13
2006,1월,음주상태,0.05%미만,야,14,6,20
2006,1월,음주운전,측정불응,주,7,0,9
2006,1월,음주운전,측정불응,야,38,1,76
2006,1월,음주운전,0.05%~0.09%,주,87,4,204
2006,1월,음주운전,0.05%~0.09%,야,256,5,468
2006,1월,음주운전,0.10%~0.14%,주,120,4,221
2006,1월,음주운전,0.10%~0.14%,야,596,14,1072
2006,1월,음주운전,0.15%~0.19%,주,97,2,182
2006,1월,음주운전,0.15%~0.19%,야,517,12,971
2006,1월,음주운전,0.20%~0.24%,주,45,3,77
2006,1월,음주운전,0.20%~0.24%,야,191,11,345
2006,1월,음주운전,0.25%~0.29%,주,18,0,31
2006,1월,음주운전,0.25%~0.29%,야,31,2,55
2006,1월,음주운전,0.30%~0.34%,주,6,0,13
2006,1월,음주운전,0.30%~0.34%,야,7,0,11
2006,1월,음주운전,0.35%이상,주,2,2,4
2006,1월,음주운전,0.35%이상,야,3,0,7
2006,1월,측정불능,측정불능,주,3,0,3
2006,1월,측정불능,측정불능,야,3,0,6
2006,1월,해당 없음,해당 없음,주,6940,165,11158
2006,1월,해당 없음,해당 없음,야,5796,178,9365
2006,1월,기타불명,기타불명,주,62,0,78
2006,1월,기타불명,기타불명,야,120,5,144
2006,2월,음주상태,0.05%미만,주,7,1,8
2006,2월,음주상태,0.05%미만,야,14,2,25
2006,2월,음주운전,측정불응,주,6,0,8
2006,2월,음주운전,측정불응,야,29,0,59
2006,2월,음주운전,0.05%~0.09%,주,72,3,120
2006,2월,음주운전,0.05%~0.09%,야,237,7,463
2006,2월,음주운전,0.10%~0.14%,주,118,5,223
2006,2월,음주운전,0.10%~0.14%,야,578,10,1033
2006,2월,음주운전,0.15%~0.19%,주,91,3,166
2006,2월,음주운전,0.15%~0.19%,야,443,12,841
2006,2월,음주운전,0.20%~0.24%,주,51,1,94
2006,2월,음주운전,0.20%~0.24%,야,172,8,294
2006,2월,음주운전,0.25%~0.29%,주,16,1,21
2006,2월,음주운전,0.25%~0.29%,야,29,2,53
2006,2월,음주운전,0.30%~0.34%,주,5,1,6
2006,2월,음주운전,0.30%~0.34%,야,6,1,9
2006,2월,음주운전,0.35%이상,주,1,0,2
2006,2월,음주운전,0.35%이상,야,3,0,6
2006,2월,측정불능,측정불능,주,8,0,9
2006,2월,측정불능,측정불능,야,9,1,9
2006,2월,해당 없음,해당 없음,주,6700,140,10699
2006,2월,해당 없음,해당 없음,야,5516,166,8577
2006,2월,기타불명,기타불명,주,74,1,85
2006,2월,기타불명,기타불명,야,85,8,93
2006,3월,음주상태,0.05%미만,주,5,2,6
2006,3월,음주상태,0.05%미만,야,23,6,31
2006,3월,음주운전,측정불응,주,8,0,14
2006,3월,음주운전,측정불응,야,40,0,69
2006,3월,음주운전,0.05%~0.09%,주,97,3,202
2006,3월,음주운전,0.05%~0.09%,야,288,10,519
2006,3월,음주운전,0.10%~0.14%,주,145,2,230
2006,3월,음주운전,0.10%~0.14%,야,642,17,1208
2006,3월,음주운전,0.15%~0.19%,주,129,2,249
2006,3월,음주운전,0.15%~0.19%,야,550,12,1037
2006,3월,음주운전,0.20%~0.24%,주,54,4,89
2006,3월,음주운전,0.20%~0.24%,야,186,10,305
2006,3월,음주운전,0.25%~0.29%,주,15,0,25
2006,3월,음주운전,0.25%~0.29%,야,48,2,87
2006,3월,음주운전,0.30%~0.34%,주,3,0,4
2006,3월,음주운전,0.30%~0.34%,야,7,2,12
2006,3월,측정불능,측정불능,주,3,0,5
2006,3월,측정불능,측정불능,야,17,1,21
2006,3월,해당 없음,해당 없음,주,7966,186,11948
2006,3월,해당 없음,해당 없음,야,6342,203,9714
2006,3월,기타불명,기타불명,주,92,0,105
2006,3월,기타불명,기타불명,야,107,3,133
2006,4월,음주상태,0.05%미만,주,9,5,16
2006,4월,음주상태,0.05%미만,야,23,5,36
2006,4월,음주운전,측정불응,주,10,0,12
2006,4월,음주운전,측정불응,야,42,2,85
2006,4월,음주운전,0.05%~0.09%,주,131,8,283
2006,4월,음주운전,0.05%~0.09%,야,278,7,515
2006,4월,음주운전,0.10%~0.14%,주,136,4,258
2006,4월,음주운전,0.10%~0.14%,야,618,19,1118
2006,4월,음주운전,0.15%~0.19%,주,123,3,207
2006,4월,음주운전,0.15%~0.19%,야,632,13,1117
2006,4월,음주운전,0.20%~0.24%,주,71,3,142
2006,4월,음주운전,0.20%~0.24%,야,273,13,518
2006,4월,음주운전,0.25%~0.29%,주,26,0,55
2006,4월,음주운전,0.25%~0.29%,야,58,5,121
2006,4월,음주운전,0.30%~0.34%,주,2,0,4
2006,4월,음주운전,0.30%~0.34%,야,7,1,11
2006,4월,음주운전,0.35%이상,주,1,1,0
2006,4월,음주운전,0.35%이상,야,4,0,7
2006,4월,측정불능,측정불능,주,3,0,8
2006,4월,측정불능,측정불능,야,9,1,15
2006,4월,해당 없음,해당 없음,주,8491,177,13533
2006,4월,해당 없음,해당 없음,야,6780,199,10410
2006,4월,기타불명,기타불명,주,87,2,108
2006,4월,기타불명,기타불명,야,134,1,146
2006,5월,음주상태,0.05%미만,주,10,6,6
2006,5월,음주상태,0.05%미만,야,38,12,60
2006,5월,음주운전,측정불응,주,10,0,14
2006,5월,음주운전,측정불응,야,34,0,50
2006,5월,음주운전,0.05%~0.09%,주,87,4,165
2006,5월,음주운전,0.05%~0.09%,야,285,20,524
2006,5월,음주운전,0.10%~0.14%,주,140,4,243
2006,5월,음주운전,0.10%~0.14%,야,584,20,977
2006,5월,음주운전,0.15%~0.19%,주,152,3,281
2006,5월,음주운전,0.15%~0.19%,야,692,22,1220
2006,5월,음주운전,0.20%~0.24%,주,93,1,144
2006,5월,음주운전,0.20%~0.24%,야,269,14,471
2006,5월,음주운전,0.25%~0.29%,주,37,2,60
2006,5월,음주운전,0.25%~0.29%,야,74,0,128
2006,5월,음주운전,0.30%~0.34%,주,15,1,24
2006,5월,음주운전,0.30%~0.34%,야,15,2,19
2006,5월,음주운전,0.35%이상,주,2,0,2
2006,5월,음주운전,0.35%이상,야,3,0,7
2006,5월,측정불능,측정불능,주,4,0,7
2006,5월,측정불능,측정불능,야,16,1,24
2006,5월,해당 없음,해당 없음,주,9198,220,14368
2006,5월,해당 없음,해당 없음,야,7177,193,11233
2006,5월,기타불명,기타불명,주,78,0,90
2006,5월,기타불명,기타불명,야,127,6,162
2006,6월,음주상태,0.05%미만,주,16,6,17
2006,6월,음주상태,0.05%미만,야,20,8,29
2006,6월,음주운전,측정불응,주,11,1,18
2006,6월,음주운전,측정불응,야,36,0,64
2006,6월,음주운전,0.05%~0.09%,주,97,4,172
2006,6월,음주운전,0.05%~0.09%,야,232,4,412
2006,6월,음주운전,0.10%~0.14%,주,113,4,198
2006,6월,음주운전,0.10%~0.14%,야,477,12,812
2006,6월,음주운전,0.15%~0.19%,주,126,5,201
2006,6월,음주운전,0.15%~0.19%,야,656,27,1138
2006,6월,음주운전,0.20%~0.24%,주,76,2,193
2006,6월,음주운전,0.20%~0.24%,야,374,12,675
2006,6월,음주운전,0.25%~0.29%,주,44,1,61
2006,6월,음주운전,0.25%~0.29%,야,87,2,142
2006,6월,음주운전,0.30%~0.34%,주,5,0,10
2006,6월,음주운전,0.30%~0.34%,야,19,0,30
2006,6월,음주운전,0.35%이상,주,3,0,6
2006,6월,음주운전,0.35%이상,야,6,0,8
2006,6월,측정불능,측정불능,주,5,0,5
2006,6월,측정불능,측정불능,야,11,2,22
2006,6월,해당 없음,해당 없음,주,8077,185,12370
2006,6월,해당 없음,해당 없음,야,6755,180,10224
2006,6월,기타불명,기타불명,주,85,0,97
2006,6월,기타불명,기타불명,야,104,0,128
2006,7월,음주상태,0.05%미만,주,7,3,20
2006,7월,음주상태,0.05%미만,야,33,16,48
2006,7월,음주운전,측정불응,주,14,0,23
2006,7월,음주운전,측정불응,야,51,0,82
2006,7월,음주운전,0.05%~0.09%,주,109,7,243
2006,7월,음주운전,0.05%~0.09%,야,315,4,577
2006,7월,음주운전,0.10%~0.14%,주,147,4,262
2006,7월,음주운전,0.10%~0.14%,야,664,13,1191
2006,7월,음주운전,0.15%~0.19%,주,143,4,249
2006,7월,음주운전,0.15%~0.19%,야,824,17,1492
2006,7월,음주운전,0.20%~0.24%,주,107,6,201
2006,7월,음주운전,0.20%~0.24%,야,450,14,788
2006,7월,음주운전,0.25%~0.29%,주,40,1,77
2006,7월,음주운전,0.25%~0.29%,야,124,4,198
2006,7월,음주운전,0.30%~0.34%,주,15,0,25
2006,7월,음주운전,0.30%~0.34%,야,19,1,31
2006,7월,음주운전,0.35%이상,주,3,0,3
2006,7월,음주운전,0.35%이상,야,6,1,8
2006,7월,측정불능,측정불능,주,5,0,7
2006,7월,측정불능,측정불능,야,15,3,24
2006,7월,해당 없음,해당 없음,주,8108,203,12898
2006,7월,해당 없음,해당 없음,야,7213,211,11251
2006,7월,기타불명,기타불명,주,88,2,112
2006,7월,기타불명,기타불명,야,134,2,168
2006,8월,음주상태,0.05%미만,주,12,9,36
2006,8월,음주상태,0.05%미만,야,30,5,63
2006,8월,음주운전,측정불응,주,13,0,37
2006,8월,음주운전,측정불응,야,44,0,74
2006,8월,음주운전,0.05%~0.09%,주,99,1,191
2006,8월,음주운전,0.05%~0.09%,야,261,11,464
2006,8월,음주운전,0.10%~0.14%,주,155,7,323
2006,8월,음주운전,0.10%~0.14%,야,539,22,971
2006,8월,음주운전,0.15%~0.19%,주,154,4,274
2006,8월,음주운전,0.15%~0.19%,야,652,15,1177
2006,8월,음주운전,0.20%~0.24%,주,99,3,153
2006,8월,음주운전,0.20%~0.24%,야,363,12,662
2006,8월,음주운전,0.25%~0.29%,주,36,2,73
2006,8월,음주운전,0.25%~0.29%,야,108,4,188
2006,8월,음주운전,0.30%~0.34%,주,12,0,25
2006,8월,음주운전,0.30%~0.34%,야,17,2,30
2006,8월,음주운전,0.35%이상,주,5,0,5
2006,8월,음주운전,0.35%이상,야,7,0,10
2006,8월,측정불능,측정불능,주,3,0,3
2006,8월,측정불능,측정불능,야,10,1,16
2006,8월,해당 없음,해당 없음,주,8815,232,14508
2006,8월,해당 없음,해당 없음,야,7142,244,11350
